"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @WSJ: CVS, Home Depot, Ulta and Target all have something in common. They’re struggling to keep up with organized crime rings stealing f…",FALSE,0,NA,2021-09-26 01:33:46,FALSE,NA,"1441939017642266625",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","g23ab",5723,TRUE,FALSE,NA,NA
"Why am I shopping online for new wine glasses when I know damn well I can’t drink for another 7 months @UncannySnow <U+0001F605>",FALSE,1,NA,2021-09-26 01:32:51,FALSE,NA,"1441938788528410627",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","KmbrLee24",0,FALSE,FALSE,NA,NA
"RT @WorldwideCarats: [INFO] US/PR Carats, you can now pre-order Attacca via Seventeen US online store, Weverse US shop, Target, Amazon, &amp; B…",FALSE,0,NA,2021-09-26 01:30:53,FALSE,NA,"1441938293373947906",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","xuselca",119,TRUE,FALSE,NA,NA
"RT @LeoDiCaprio: Thanks to a powerful collaboration btwn @rewild, @Coldplay &amp; @GlblCtzn, governors from 3 Brazilian Amazonia states are com…",FALSE,0,NA,2021-09-26 01:30:33,FALSE,NA,"1441938207608762371",NA,"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>","Mail3227",315,TRUE,FALSE,NA,NA
"#NOWPLAYING :  Yummy by @JustinBieber Listen online at https://t.co/T7Sx1CBDW3 ...Where the Extraordinary Happens… https://t.co/80dARgdUvI",FALSE,0,NA,2021-09-26 01:30:27,TRUE,NA,"1441938184917585921",NA,"<a href=\"https://www.autopo.st\" rel=\"nofollow\">autopo.st - platinumvibes8</a>","platinumvibes8",0,FALSE,FALSE,NA,NA
"Since you like online shopping, save more by using ShopBack to earn Cashback when you shop. Download the app and si… https://t.co/fbw26Z1NyD",FALSE,0,NA,2021-09-26 01:30:02,TRUE,NA,"1441938077149118465",NA,"<a href=\"https://www.hootsuite.com\" rel=\"nofollow\">Hootsuite Inc.</a>","malaysiandaily",0,FALSE,FALSE,NA,NA
"@BrentJSimon1 @dyanasmd @kpdnhep ought to regulate online shopping as there are many unscrupulous seller taking adv… https://t.co/YUXBGlJzqo",FALSE,0,"BrentJSimon1",2021-09-26 01:29:55,TRUE,"1441603458675601413","1441938048518746117","960835187964723201","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","pplim",0,FALSE,FALSE,NA,NA
"RT @LeoDiCaprio: Thanks to a powerful collaboration btwn @rewild, @Coldplay &amp; @GlblCtzn, governors from 3 Brazilian Amazonia states are com…",FALSE,0,NA,2021-09-26 01:29:24,FALSE,NA,"1441937917631369217",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","LifeinBTSWorld",315,TRUE,FALSE,NA,NA
"RT @LeoDiCaprio: Thanks to a powerful collaboration btwn @rewild, @Coldplay &amp; @GlblCtzn, governors from 3 Brazilian Amazonia states are com…",FALSE,0,NA,2021-09-26 01:28:59,FALSE,NA,"1441937814896078848",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Silviamoli0304",315,TRUE,FALSE,NA,NA
"RT @LeoDiCaprio: Thanks to a powerful collaboration btwn @rewild, @Coldplay &amp; @GlblCtzn, governors from 3 Brazilian Amazonia states are com…",FALSE,0,NA,2021-09-26 01:28:47,FALSE,NA,"1441937765189390350",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","ShirleySimis",315,TRUE,FALSE,NA,NA
"RT @LeoDiCaprio: Thanks to a powerful collaboration btwn @rewild, @Coldplay &amp; @GlblCtzn, governors from 3 Brazilian Amazonia states are com…",FALSE,0,NA,2021-09-26 01:28:22,FALSE,NA,"1441937661141282816",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","HariPra75486859",315,TRUE,FALSE,NA,NA
